inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
80,10,2,2,5,-0.3939393939393939,2.831079840660095,0
70,10,1,4,5,0.09090909090909088,2.865119528770447,0
90,10,2,3,5,0.12727272727272726,2.956400179862976,0
70,35,2,2,15,0.5151515151515151,3.090876841545105,0
90,20,2,2,10,-0.17575757575757575,2.9291908740997314,1
90,25,2,3,15,0.006060606060606061,3.5167779684066773,1
50,10,3,4,20,0.35757575757575755,3.626017379760742,1
70,35,2,3,20,-0.2606060606060606,3.2230234861373903,2
90,5,2,3,10,-1,73.6456228017807,3
80,5,2,2,15,-1,73.70325784683227,3
