inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
50,25,1,2,20,0.24848484848484845,2.826279544830322,0
50,25,1,1,20,-0.12727272727272726,2.813787031173706,0
50,25,1,2,5,0.07878787878787878,2.820786714553833,0
50,25,1,2,25,0.7454545454545454,2.835465121269226,0
90,10,2,1,5,0.18787878787878787,2.831197667121887,1
70,15,1,3,20,0.5757575757575757,2.958313536643982,1
90,35,1,1,5,0.35757575757575755,2.856270694732666,1
90,10,2,3,5,0.406060606060606,2.9037795305252074,1
90,35,1,2,5,0.2606060606060606,2.8500043153762817,1
70,5,1,2,10,-0.32121212121212117,2.8718679666519167,2
