innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,cost,fidelity,prepare_time,run_time,clean_time
815,970846472,11270,812478271,61571013,34368053,106879,945829193,1,95,12734423640,15906,2299299055,66,124108880,full,5382,105672258,89,249937,235.05,82.56441235542297,"[40, 30, 50000, 10, 0.5]",38.02641749382019,40.383620262145996,1.0457441806793213
772,655815875,14634,490037758,129457938,997578148,98615,297102021,1,69,13925849844,3527,318938485,101,109031809,minimal,4555,37643850,12,706494,223.31,88.92634391784668,"[40, 30, 50000, 10, 0.5]",44.42091488838196,40.3486807346344,1.036083459854126
304,333692505,19373,934301612,20168545,405961980,4746,671864982,2,81,10512562072,12545,3965514718,12,54461175,noblob,8440,89163511,75,303405,258.76,87.03011059761047,"[40, 30, 50000, 10, 0.5]",42.62898778915405,40.4078471660614,0.8891043663024902
692,595548208,23477,550662176,80465163,588930772,77724,584129758,0,24,10967571875,7801,3337645221,84,47962153,noblob,3497,115662846,57,886304,271.05,85.42363834381104,"[40, 30, 50000, 10, 0.5]",41.01680326461792,40.39408087730408,0.903123140335083
984,834736007,7860,68970145,53156796,469315908,60338,767023273,1,56,12378308076,2352,2582286367,19,4507505,full,912,77868564,5,419695,234.03,83.86028861999512,"[40, 30, 50000, 10, 0.5]",39.51527285575867,40.42278003692627,0.8288981914520264
16,19681070,26732,108268048,36590458,897750749,119911,364348982,0,9,14437146515,29488,2094490058,119,84386972,full,1815,63329247,61,188046,269.57,88.08708357810974,"[40, 30, 50000, 10, 0.5]",43.993587493896484,40.29091787338257,0.7130637168884277
591,151446214,2481,262142772,90675700,776641605,86123,44877218,2,73,11853541419,26842,3735853247,109,21520190,noblob,7945,48072218,24,608595,273.12,85.73893857002258,"[40, 30, 50000, 10, 0.5]",41.42938280105591,40.54125738143921,0.6619157791137695
119,264085292,36412,750351903,2017524,178547387,48624,494764763,0,31,13275270572,11633,1150289862,59,100989158,minimal,3115,124294983,98,503712,257.14,85.709965467453,"[30, 45, 45000, 10, 0.5]",49.58735251426697,30.423471212387085,2.602954149246216
434,493455433,33143,413036894,116312474,235398333,19606,114328189,0,41,15262908884,21648,824528458,30,76670562,noblob,6785,23751718,37,55002,258.37,94.09133410453796,"[30, 45, 45000, 10, 0.5]",58.57839560508728,30.43751573562622,1.9834742546081543
243,960385772,28351,1045650588,106939762,735714616,35301,1005516488,2,19,14923480624,20499,1674979154,49,35597220,minimal,9631,8155458,42,912526,255.77,86.90163540840149,"[30, 45, 45000, 10, 0.5]",51.08582067489624,30.52585458755493,2.172048330307007
815,970846472,11270,812478271,61571013,34368053,106879,945829193,1,95,12734423640,15906,2299299055,66,124108880,full,5382,105672258,89,249937,202.5,82.61248397827148,"[30, 45, 45000, 10, 0.5]",47.560338258743286,30.543542861938477,1.414809226989746
772,655815875,14634,490037758,129457938,997578148,98615,297102021,1,69,13925849844,3527,318938485,101,109031809,minimal,4555,37643850,12,706494,134.04,92.48110818862915,"[30, 45, 45000, 10, 0.5]",57.65519857406616,30.53341817855835,1.20039963722229
304,333692505,19373,934301612,20168545,405961980,4746,671864982,2,81,10512562072,12545,3965514718,12,54461175,noblob,8440,89163511,75,303405,254.12,101.33945441246033,"[30, 45, 45000, 10, 0.5]",65.55420446395874,30.721434354782104,1.9702904224395752
692,595548208,23477,550662176,80465163,588930772,77724,584129758,0,24,10967571875,7801,3337645221,84,47962153,noblob,3497,115662846,57,886304,263.21,87.9661111831665,"[30, 45, 45000, 10, 0.5]",51.30669713020325,30.834256649017334,2.705458402633667
984,834736007,7860,68970145,53156796,469315908,60338,767023273,1,56,12378308076,2352,2582286367,19,4507505,full,912,77868564,5,419695,208.33,82.44284009933472,"[30, 45, 45000, 10, 0.5]",47.223764181137085,30.56749176979065,1.5569789409637451
16,19681070,26732,108268048,36590458,897750749,119911,364348982,0,9,14437146515,29488,2094490058,119,84386972,full,1815,63329247,61,188046,266.59,85.49758982658386,"[30, 45, 45000, 10, 0.5]",49.420337200164795,30.47305417060852,2.4967010021209717
591,151446214,2481,262142772,90675700,776641605,86123,44877218,2,73,11853541419,26842,3735853247,109,21520190,noblob,7945,48072218,24,608595,261.86,87.6163399219513,"[30, 45, 45000, 10, 0.5]",52.292964458465576,30.77475142478943,1.4461209774017334
119,264085292,36412,750351903,2017524,178547387,48624,494764763,0,31,13275270572,11633,1150289862,59,100989158,minimal,3115,124294983,98,503712,384.6,59.705477237701416,"[50, 30, 10000, 6, 0.5]",6.05068826675415,50.19650745391846,0.34989166259765625
434,493455433,33143,413036894,116312474,235398333,19606,114328189,0,41,15262908884,21648,824528458,30,76670562,noblob,6785,23751718,37,55002,384.7,59.84434103965759,"[50, 30, 10000, 6, 0.5]",6.015523910522461,50.22926449775696,0.5033309459686279
243,960385772,28351,1045650588,106939762,735714616,35301,1005516488,2,19,14923480624,20499,1674979154,49,35597220,minimal,9631,8155458,42,912526,399.35,59.62147903442383,"[50, 30, 10000, 6, 0.5]",5.922337293624878,50.16326093673706,0.4342231750488281
815,970846472,11270,812478271,61571013,34368053,106879,945829193,1,95,12734423640,15906,2299299055,66,124108880,full,5382,105672258,89,249937,325.3,59.74645709991455,"[50, 30, 10000, 6, 0.5]",5.81311559677124,50.19584345817566,0.6142265796661377
772,655815875,14634,490037758,129457938,997578148,98615,297102021,1,69,13925849844,3527,318938485,101,109031809,minimal,4555,37643850,12,706494,341.9,59.40379333496094,"[50, 30, 10000, 6, 0.5]",5.644948482513428,50.108747243881226,0.571455717086792
304,333692505,19373,934301612,20168545,405961980,4746,671864982,2,81,10512562072,12545,3965514718,12,54461175,noblob,8440,89163511,75,303405,390.28,59.39683675765991,"[50, 30, 10000, 6, 0.5]",5.658444166183472,50.231958627700806,0.3956868648529053
692,595548208,23477,550662176,80465163,588930772,77724,584129758,0,24,10967571875,7801,3337645221,84,47962153,noblob,3497,115662846,57,886304,395.57,59.365784645080566,"[50, 30, 10000, 6, 0.5]",5.68340539932251,50.18503475189209,0.3854696750640869
984,834736007,7860,68970145,53156796,469315908,60338,767023273,1,56,12378308076,2352,2582286367,19,4507505,full,912,77868564,5,419695,321.67,60.20986294746399,"[50, 30, 10000, 6, 0.5]",6.433588743209839,50.20119619369507,0.4887888431549072
16,19681070,26732,108268048,36590458,897750749,119911,364348982,0,9,14437146515,29488,2094490058,119,84386972,full,1815,63329247,61,188046,388.03,59.685104846954346,"[50, 30, 10000, 6, 0.5]",5.884088039398193,50.214701652526855,0.49584460258483887
591,151446214,2481,262142772,90675700,776641605,86123,44877218,2,73,11853541419,26842,3735853247,109,21520190,noblob,7945,48072218,24,608595,384.36,59.20976948738098,"[50, 30, 10000, 6, 0.5]",5.478195905685425,50.22438049316406,0.41261935234069824
119,264085292,36412,750351903,2017524,178547387,48624,494764763,0,31,13275270572,11633,1150289862,59,100989158,minimal,3115,124294983,98,503712,406.09,64.13848853111267,"[50, 20, 35000, 4, 0.5]",10.555713653564453,50.11780881881714,0.3658273220062256
434,493455433,33143,413036894,116312474,235398333,19606,114328189,0,41,15262908884,21648,824528458,30,76670562,noblob,6785,23751718,37,55002,393.93,63.11125206947327,"[50, 20, 35000, 4, 0.5]",9.609017610549927,50.10896182060242,0.29286861419677734
243,960385772,28351,1045650588,106939762,735714616,35301,1005516488,2,19,14923480624,20499,1674979154,49,35597220,minimal,9631,8155458,42,912526,387.15,63.232627868652344,"[50, 20, 35000, 4, 0.5]",9.684154510498047,50.08400917053223,0.3360633850097656
815,970846472,11270,812478271,61571013,34368053,106879,945829193,1,95,12734423640,15906,2299299055,66,124108880,full,5382,105672258,89,249937,277.56,62.54965138435364,"[50, 20, 35000, 4, 0.5]",8.590561151504517,50.10645914077759,0.7564685344696045
772,655815875,14634,490037758,129457938,997578148,98615,297102021,1,69,13925849844,3527,318938485,101,109031809,minimal,4555,37643850,12,706494,313.41,62.60293197631836,"[50, 20, 35000, 4, 0.5]",8.873995542526245,50.061009883880615,0.5774927139282227
304,333692505,19373,934301612,20168545,405961980,4746,671864982,2,81,10512562072,12545,3965514718,12,54461175,noblob,8440,89163511,75,303405,406.45,62.6526243686676,"[50, 20, 35000, 4, 0.5]",9.16925859451294,50.10837173461914,0.2647538185119629
692,595548208,23477,550662176,80465163,588930772,77724,584129758,0,24,10967571875,7801,3337645221,84,47962153,noblob,3497,115662846,57,886304,395.87,63.0705783367157,"[50, 20, 35000, 4, 0.5]",9.500072240829468,50.11742615699768,0.346177339553833
984,834736007,7860,68970145,53156796,469315908,60338,767023273,1,56,12378308076,2352,2582286367,19,4507505,full,912,77868564,5,419695,238.34,62.3714165687561,"[50, 20, 35000, 4, 0.5]",8.660221576690674,50.078925132751465,0.5276675224304199
16,19681070,26732,108268048,36590458,897750749,119911,364348982,0,9,14437146515,29488,2094490058,119,84386972,full,1815,63329247,61,188046,412.63,63.34174942970276,"[50, 20, 35000, 4, 0.5]",9.751862049102783,50.12933111190796,0.37434887886047363
591,151446214,2481,262142772,90675700,776641605,86123,44877218,2,73,11853541419,26842,3735853247,109,21520190,noblob,7945,48072218,24,608595,410.81,62.34134292602539,"[50, 20, 35000, 4, 0.5]",8.841311693191528,50.072486877441406,0.33069682121276855
119,264085292,36412,750351903,2017524,178547387,48624,494764763,0,31,13275270572,11633,1150289862,59,100989158,minimal,3115,124294983,98,503712,368.28,57.46484661102295,"[40, 25, 40000, 4, 0.5]",13.766294002532959,40.10046029090881,0.4988875389099121
434,493455433,33143,413036894,116312474,235398333,19606,114328189,0,41,15262908884,21648,824528458,30,76670562,noblob,6785,23751718,37,55002,338.06,58.0336651802063,"[40, 25, 40000, 4, 0.5]",14.466598749160767,40.12767457962036,0.35388994216918945
243,960385772,28351,1045650588,106939762,735714616,35301,1005516488,2,19,14923480624,20499,1674979154,49,35597220,minimal,9631,8155458,42,912526,356.06,56.88546323776245,"[40, 25, 40000, 4, 0.5]",13.234267473220825,40.10543251037598,0.4505023956298828
815,970846472,11270,812478271,61571013,34368053,106879,945829193,1,95,12734423640,15906,2299299055,66,124108880,full,5382,105672258,89,249937,218.34,57.79163670539856,"[40, 25, 40000, 4, 0.5]",12.043089389801025,40.05990433692932,2.6017374992370605
772,655815875,14634,490037758,129457938,997578148,98615,297102021,1,69,13925849844,3527,318938485,101,109031809,minimal,4555,37643850,12,706494,278.85,57.262765884399414,"[40, 25, 40000, 4, 0.5]",13.157185316085815,40.07595753669739,0.516948938369751
304,333692505,19373,934301612,20168545,405961980,4746,671864982,2,81,10512562072,12545,3965514718,12,54461175,noblob,8440,89163511,75,303405,370.66,56.201908588409424,"[40, 25, 40000, 4, 0.5]",12.426940441131592,40.064995765686035,0.6127803325653076
692,595548208,23477,550662176,80465163,588930772,77724,584129758,0,24,10967571875,7801,3337645221,84,47962153,noblob,3497,115662846,57,886304,365.24,56.92282676696777,"[40, 25, 40000, 4, 0.5]",13.240296840667725,40.13673543930054,0.4369783401489258
984,834736007,7860,68970145,53156796,469315908,60338,767023273,1,56,12378308076,2352,2582286367,19,4507505,full,912,77868564,5,419695,239.95,56.140470027923584,"[40, 25, 40000, 4, 0.5]",12.2170090675354,40.14020323753357,0.676025390625
16,19681070,26732,108268048,36590458,897750749,119911,364348982,0,9,14437146515,29488,2094490058,119,84386972,full,1815,63329247,61,188046,378.22,56.04184341430664,"[40, 25, 40000, 4, 0.5]",12.3699312210083,40.10745429992676,0.46655917167663574
591,151446214,2481,262142772,90675700,776641605,86123,44877218,2,73,11853541419,26842,3735853247,109,21520190,noblob,7945,48072218,24,608595,380.79,55.00554418563843,"[40, 25, 40000, 4, 0.5]",11.204538822174072,40.11407017707825,0.5858559608459473
119,264085292,36412,750351903,2017524,178547387,48624,494764763,0,31,13275270572,11633,1150289862,59,100989158,minimal,3115,124294983,98,503712,318.0,93.21974182128906,"[55, 30, 45000, 6, 0.5]",34.30689597129822,55.201904296875,0.6117067337036133
434,493455433,33143,413036894,116312474,235398333,19606,114328189,0,41,15262908884,21648,824528458,30,76670562,noblob,6785,23751718,37,55002,310.45,84.70964908599854,"[55, 30, 45000, 6, 0.5]",25.861374855041504,55.16296935081482,0.5937108993530273
243,960385772,28351,1045650588,106939762,735714616,35301,1005516488,2,19,14923480624,20499,1674979154,49,35597220,minimal,9631,8155458,42,912526,307.25,85.66815710067749,"[55, 30, 45000, 6, 0.5]",26.94501280784607,55.20206832885742,0.41587209701538086
815,970846472,11270,812478271,61571013,34368053,106879,945829193,1,95,12734423640,15906,2299299055,66,124108880,full,5382,105672258,89,249937,260.19,85.0350878238678,"[55, 30, 45000, 6, 0.5]",25.569536685943604,55.28173851966858,1.079697608947754
772,655815875,14634,490037758,129457938,997578148,98615,297102021,1,69,13925849844,3527,318938485,101,109031809,minimal,4555,37643850,12,706494,257.55,83.86192488670349,"[55, 30, 45000, 6, 0.5]",24.493266820907593,55.16532230377197,1.1091113090515137
304,333692505,19373,934301612,20168545,405961980,4746,671864982,2,81,10512562072,12545,3965514718,12,54461175,noblob,8440,89163511,75,303405,299.25,85.4814248085022,"[55, 30, 45000, 6, 0.5]",26.70000147819519,55.169597148895264,0.5149343013763428
692,595548208,23477,550662176,80465163,588930772,77724,584129758,0,24,10967571875,7801,3337645221,84,47962153,noblob,3497,115662846,57,886304,303.81,90.74843001365662,"[55, 30, 45000, 6, 0.5]",31.795280694961548,55.13066387176514,0.7304351329803467
984,834736007,7860,68970145,53156796,469315908,60338,767023273,1,56,12378308076,2352,2582286367,19,4507505,full,912,77868564,5,419695,278.88,83.41900277137756,"[55, 30, 45000, 6, 0.5]",24.290605783462524,55.14611482620239,0.8820536136627197
16,19681070,26732,108268048,36590458,897750749,119911,364348982,0,9,14437146515,29488,2094490058,119,84386972,full,1815,63329247,61,188046,304.36,83.31118965148926,"[55, 30, 45000, 6, 0.5]",24.549027681350708,55.17236137390137,0.4917614459991455
591,151446214,2481,262142772,90675700,776641605,86123,44877218,2,73,11853541419,26842,3735853247,109,21520190,noblob,7945,48072218,24,608595,328.49,94.91910815238953,"[55, 30, 45000, 6, 0.5]",35.93937039375305,55.13640546798706,0.7382879257202148
119,264085292,36412,750351903,2017524,178547387,48624,494764763,0,31,13275270572,11633,1150289862,59,100989158,minimal,3115,124294983,98,503712,348.07,66.14253211021423,"[50, 35, 20000, 6, 0.5]",12.424434661865234,50.15407466888428,0.46090173721313477
434,493455433,33143,413036894,116312474,235398333,19606,114328189,0,41,15262908884,21648,824528458,30,76670562,noblob,6785,23751718,37,55002,352.44,66.06735134124756,"[50, 35, 20000, 6, 0.5]",12.183557033538818,50.15763783454895,0.6349678039550781
243,960385772,28351,1045650588,106939762,735714616,35301,1005516488,2,19,14923480624,20499,1674979154,49,35597220,minimal,9631,8155458,42,912526,360.61,67.17746639251709,"[50, 35, 20000, 6, 0.5]",13.328509092330933,50.17955136299133,0.5602102279663086
815,970846472,11270,812478271,61571013,34368053,106879,945829193,1,95,12734423640,15906,2299299055,66,124108880,full,5382,105672258,89,249937,220.06,66.02424812316895,"[50, 35, 20000, 6, 0.5]",12.04549503326416,50.09897303581238,0.7732276916503906
772,655815875,14634,490037758,129457938,997578148,98615,297102021,1,69,13925849844,3527,318938485,101,109031809,minimal,4555,37643850,12,706494,308.52,65.11330127716064,"[50, 35, 20000, 6, 0.5]",11.130228281021118,50.094664335250854,0.7936758995056152
304,333692505,19373,934301612,20168545,405961980,4746,671864982,2,81,10512562072,12545,3965514718,12,54461175,noblob,8440,89163511,75,303405,336.72,67.42914843559265,"[50, 35, 20000, 6, 0.5]",13.455645561218262,50.2398157119751,0.6473870277404785
692,595548208,23477,550662176,80465163,588930772,77724,584129758,0,24,10967571875,7801,3337645221,84,47962153,noblob,3497,115662846,57,886304,363.16,67.20907855033875,"[50, 35, 20000, 6, 0.5]",13.234618902206421,50.19347262382507,0.6676981449127197
984,834736007,7860,68970145,53156796,469315908,60338,767023273,1,56,12378308076,2352,2582286367,19,4507505,full,912,77868564,5,419695,256.12,66.26460123062134,"[50, 35, 20000, 6, 0.5]",11.897887706756592,50.222233295440674,1.0468237400054932
16,19681070,26732,108268048,36590458,897750749,119911,364348982,0,9,14437146515,29488,2094490058,119,84386972,full,1815,63329247,61,188046,351.73,67.38369417190552,"[50, 35, 20000, 6, 0.5]",13.53917407989502,50.34158730506897,0.412398099899292
591,151446214,2481,262142772,90675700,776641605,86123,44877218,2,73,11853541419,26842,3735853247,109,21520190,noblob,7945,48072218,24,608595,361.64,65.84082508087158,"[50, 35, 20000, 6, 0.5]",11.798694849014282,50.23957133293152,0.6982383728027344
119,264085292,36412,750351903,2017524,178547387,48624,494764763,0,31,13275270572,11633,1150289862,59,100989158,minimal,3115,124294983,98,503712,273.09,97.41192317008972,"[50, 35, 40000, 10, 0.5]",43.37341356277466,50.41254019737244,0.5413775444030762
434,493455433,33143,413036894,116312474,235398333,19606,114328189,0,41,15262908884,21648,824528458,30,76670562,noblob,6785,23751718,37,55002,271.79,93.06031131744385,"[50, 35, 40000, 10, 0.5]",38.843525648117065,50.435248136520386,0.6896111965179443
