threads,connections,duration,post,spearman_corr,evaluated_time,front_level
2,35,10,True,0.9272727272727272,10.065708756446838,0
8,30,40,True,0.9999999999999999,40.10386283397675,0
8,30,20,False,0.9515151515151514,20.08360300064087,0
8,30,40,False,0.9757575757575757,40.09687585830689,0
8,30,10,False,0.9515151515151514,10.069034719467163,0
4,30,20,True,0.9515151515151514,20.080366349220277,0
10,40,15,False,0.9515151515151514,15.078606629371643,0
2,30,15,True,0.9515151515151514,15.069901919364929,0
8,50,10,True,0.9272727272727272,10.073553490638734,1
8,35,50,True,0.9878787878787878,50.0961989402771,1
