8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,encode_time,avg_cpu_util,output_file_mb,bitrate_kbps,encode_fps,cost,fidelity
1,p4x4,1,0.6698010465043209,2,12,0,11,23.295120580274137,-6:6,temporal,0,97,4,dia,57,1,0,vbr,0,47.38,47.38,418.657661,30.557823,12838.276914,25.48,47.667299032211304,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",0,1.2776016784862028,1,7,1,-7,7.841845546587156,6:-6,auto,1,385,3,dia,4,0,1,none,0,17.51,17.51,1287.778412,122.844311,51610.655299,69.13,17.67874836921692,"['Action', '1080p', 60, '20s']"
1,p4x4,2,1.9093442325930086,2,13,0,-9,31.496816196985893,6:6,temporal,0,43,3,dia,54,1,0,cbr,1,55.6,55.6,332.607914,14.582215,6126.435023,21.61,55.73851180076599,"['Action', '1080p', 60, '20s']"
0,p4x4,2,1.911532185562115,0,10,1,-1,1.2134050920272186,2:-2,auto,0,368,1,umh,46,0,0,cbr,0,24.81,24.81,1177.347844,325.439421,136727.062559,48.5,25.00536561012268,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",2,0.2922784673232155,2,9,1,-1,6.4499679005216635,4:4,none,0,411,4,esa,31,0,0,vbr,0,80.13,80.13,1397.516536,119.78601,50325.769444,14.97,80.29656457901001,"['Action', '1080p', 60, '20s']"
1,all,3,0.6076115582735653,0,5,1,4,26.250676150511897,2:2,temporal,0,280,2,hex,61,1,0,vbr,0,16.94,16.94,1205.371901,24.686092,10371.383066,71.41,17.08767819404602,"['Action', '1080p', 60, '20s']"
0,p4x4,2,0.7963403618786435,2,2,0,4,10.174466570197579,0:0,spatial,1,290,1,dia,42,1,0,vbr,0,20.57,20.57,526.737968,91.980978,38644.024463,58.76,20.72479271888733,"['Action', '1080p', 60, '20s']"
0,all,3,1.4611206561082022,0,8,1,-2,20.186479088957697,3:3,spatial,0,460,4,tesa,35,1,0,cbr,0,103.67,103.67,1303.549725,47.275002,19861.675261,11.57,103.82037115097046,"['Action', '1080p', 60, '20s']"
1,all,2,1.9153666297934544,1,10,1,-6,39.284584335248084,4:4,spatial,0,196,0,esa,28,1,0,cbr,1,23.37,23.37,1359.520753,5.310132,2230.949011,51.51,23.506474256515503,"['Action', '1080p', 60, '20s']"
1,none,2,0.2446535812051993,1,16,1,-11,48.15527367152155,1:1,auto,1,56,3,tesa,52,1,0,cbr,1,27.55,27.55,1289.07441,2.680208,1126.03751,43.66,27.67729139328003,"['Action', '1080p', 60, '20s']"
1,all,2,0.4968266181467218,2,14,1,-2,48.697586145156606,2:-2,none,0,220,3,hex,34,0,1,cbr,0,61.97,61.97,355.801194,3.707304,1557.551894,19.36,62.09824466705322,"['Action', '1080p', 60, '20s']"
1,p4x4,1,1.195380953907058,0,14,1,10,29.585346184273632,0:0,temporal,1,117,0,umh,22,0,1,vbr,1,13.12,13.12,1072.865854,20.596414,8653.183829,92.03,13.252001762390137,"['Action', '1080p', 60, '20s']"
0,"p8x8,b8x8,i8x8,i4x4",0,0.9936193775202311,0,6,0,-4,26.763382110464214,6:6,spatial,1,256,3,hex,22,0,0,vbr,1,14.3,14.3,1256.083916,27.028371,11355.445954,84.74,14.43915057182312,"['Action', '1080p', 60, '20s']"
0,"p8x8,b8x8,i8x8,i4x4",0,1.270976006081585,1,13,1,-9,3.067746982502859,5:5,auto,1,79,3,hex,16,0,0,none,0,21.91,21.91,1322.09037,207.555383,87200.369696,55.04,22.09926748275757,"['Action', '1080p', 60, '20s']"
0,none,3,1.8542762402573634,0,13,1,5,1.5274447138154952,3:3,auto,1,475,1,umh,11,1,1,none,0,24.85,24.85,974.084507,324.042546,136140.192852,48.59,25.0397891998291,"['Action', '1080p', 60, '20s']"
