inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
50,25,1,2,5,0.29696969696969694,2.762323331832886,0
70,25,1,2,5,0.4545454545454545,2.842244267463684,0
50,25,1,3,20,0.33333333333333326,2.8138911962509154,0
50,25,1,1,25,-0.01818181818181818,2.785015416145325,1
50,10,1,2,25,0.33333333333333326,2.9639221906661986,1
90,25,2,3,15,0.38181818181818183,3.5227552175521852,1
60,15,1,1,5,0.29696969696969694,2.8324175596237184,1
70,25,1,3,35,0.01818181818181818,2.825429368019104,1
90,25,1,2,25,0.07878787878787878,2.8287199258804323,1
50,25,1,2,25,-0.5636363636363636,2.7870460510253907,2
