ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,On,On,On,On,On,Off,Off,On,Off,Off,On,On,Off,On,On,On,Off,Off,On,0.08571600914001465,0.41211509704589844,237848,2.1857709884643555,356663,1676,5.0889177322387695,"[10, 50, 6, 4, 5]"
Off,On,Off,Off,On,Off,On,On,Off,On,On,Off,Off,On,Off,On,Off,Off,On,Off,0.08586883544921875,0.40630483627319336,237848,2.185044288635254,356663,1676,5.147663116455078,"[10, 50, 6, 4, 5]"
On,Off,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,Off,Off,Off,Off,Off,On,On,0.07911539077758789,0.3957679271697998,241944,2.196427345275879,356663,1676,5.050686836242676,"[10, 50, 6, 4, 5]"
Off,On,Off,On,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,On,Off,Off,0.09300589561462402,0.4086482524871826,236416,2.2044427394866943,356663,1676,5.141573905944824,"[10, 50, 6, 4, 5]"
On,On,On,Off,On,On,Off,On,On,On,Off,Off,On,Off,On,On,Off,On,On,Off,0.09163117408752441,1.4346635341644287,465288,4.278326749801636,828309,4503,8.248024702072144,"[10, 50, 6, 4, 10]"
On,Off,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,Off,Off,Off,Off,Off,On,On,0.08791899681091309,1.4450397491455078,469384,4.256816864013672,828309,4503,8.175216674804688,"[10, 50, 6, 4, 10]"
Off,Off,On,On,On,Off,Off,On,On,Off,On,Off,Off,On,On,Off,On,On,Off,Off,0.08716320991516113,1.433035135269165,472056,4.250800848007202,828309,4503,8.258017301559448,"[10, 50, 6, 4, 10]"
On,On,On,On,On,On,Off,Off,On,Off,Off,On,On,Off,On,On,On,Off,Off,On,0.09641098976135254,1.4503982067108154,465288,4.25375509262085,828309,4503,8.317174673080444,"[10, 50, 6, 4, 10]"
Off,Off,On,On,On,Off,Off,On,On,Off,On,Off,Off,On,On,Off,On,On,Off,Off,0.0987389087677002,1.5211467742919922,503000,7.182011604309082,866233,4708,11.293626070022583,"[10, 50, 6, 4, 25]"
On,Off,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,Off,Off,Off,Off,Off,On,On,0.1011967658996582,1.500253677368164,504440,7.142239332199097,866233,4708,11.171399354934692,"[10, 50, 6, 4, 25]"
Off,Off,On,On,On,Off,Off,On,On,Off,On,Off,Off,On,On,Off,On,On,Off,Off,0.08216142654418945,5.501321315765381,1255640,34.59726524353027,2152160,10605,42.67757225036621,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,On,Off,On,On,On,On,On,On,On,On,On,Off,On,On,On,0.08719921112060547,1.45332670211792,465288,4.27529764175415,828309,4503,8.282557249069214,"[10, 50, 6, 4, 10]"
Off,Off,On,Off,Off,Off,On,Off,On,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,0.08639049530029297,1.4409427642822266,465288,4.257766962051392,828309,4503,8.287081718444824,"[10, 50, 6, 4, 10]"
On,Off,Off,On,On,On,Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,0.0947415828704834,1.4431965351104736,469384,4.252290964126587,828309,4503,8.202016592025757,"[10, 50, 6, 4, 10]"
