inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
70,15,1,1,5,0.12727272727272726,2.7807349443435667,0
80,35,1,3,5,0.16363636363636364,2.829239773750305,0
50,25,1,3,5,0.4666666666666666,2.843581199645996,0
80,15,3,4,5,-0.06666666666666665,3.105408525466919,1
90,20,1,4,15,-0.29696969696969694,2.883546495437622,1
50,20,1,1,35,-0.16363636363636364,2.9472697734832765,1
80,35,2,1,25,-0.16363636363636364,2.9013914585113527,1
60,20,3,3,15,-0.10303030303030303,3.201011228561401,2
80,35,3,2,15,-0.22424242424242422,2.975055193901062,2
90,10,2,3,15,-0.43030303030303024,3.021025204658508,3
