checkpoint_completion_target,backend_flush_after,maintenance_work_mem,max_parallel_workers_per_gather,min_wal_size,wal_writer_flush_after,wal_writer_delay,work_mem,random_page_cost,commit_siblings,checkpoint_flush_after,seq_page_cost,commit_delay,join_collapse_limit,bgwriter_delay,from_collapse_limit,default_statistics_target,bgwriter_flush_after,checkpoint_timeout,deadlock_timeout,throughput,evaluated_time,fidelity_setting,corr
0.36842611742946335,0,899546,218,1833,1178826218,7837,406677,75.2545374828901,483,92,94.94715757885118,64720,750398865,8562,1363963660,3592,57,37151,1380669832,562.79,65.23733687400818,"[45, 45, 30000, 6, 0.7]",0
0.7706297356195427,0,567208,218,3392,1740890704,6341,918269,57.47694648877787,981,218,48.30618177213006,96810,980209379,3104,845740194,8,95,37151,1938028710,536.83,65.78995490074158,"[45, 45, 30000, 6, 0.7]",0
0.7104228528125341,168,597705,203,1979,15499504,9955,536173,57.47694648877787,477,61,72.9593233232184,56538,205295718,9949,1619226175,8,231,5447,1282324303,532.73,65.47742986679077,"[45, 45, 30000, 6, 0.7]",0
0.7104228528125341,0,899546,203,1979,15499504,9955,536173,75.2545374828901,477,61,72.9593233232184,56538,750398865,8562,1363963660,3592,231,5447,1380669832,530.7,65.27960014343262,"[45, 45, 30000, 6, 0.7]",0
0.7179038344502079,0,567208,169,3392,756274202,6341,918269,59.399854372066095,960,218,48.30618177213006,96810,880494592,1737,1660924840,726,95,72091,1938028710,530.12,66.04429483413696,"[45, 45, 30000, 6, 0.7]",0
0.7706297356195427,0,567208,653,3392,1740890704,6341,918269,71.23968573292298,981,218,48.30618177213006,96810,980209379,3104,845740194,993,95,42040,1938028710,518.97,66.11821055412292,"[45, 45, 30000, 6, 0.7]",0
0.7203413222621311,197,518437,925,7390,1454549555,8496,122344,31.740260459046315,116,179,82.171088900231,54106,1587155565,3135,210120504,259,92,15135,2076336484,513.29,65.65487909317017,"[45, 45, 30000, 6, 0.7]",0
0.36842611742946335,168,597705,218,1833,1178826218,7837,406677,57.47694648877787,483,92,94.94715757885118,64720,205295718,9949,1619226175,8,57,37151,1282324303,505.79,65.64867663383484,"[45, 45, 30000, 6, 0.7]",0
0.46625290316919576,102,976257,169,7082,756274202,9202,21196,59.399854372066095,960,149,35.21761415286531,48844,880494592,1737,1660924840,726,72,72091,2115471579,505.13,66.34412455558777,"[45, 45, 30000, 6, 0.7]",0
0.18429148822462962,244,258531,49,2495,358200598,2873,166761,20.063158011078922,630,199,31.668146729904606,23708,1872531404,9130,1926644951,352,253,45493,1650359104,504.05,65.69181680679321,"[45, 45, 30000, 6, 0.7]",0
0.18429148822462962,135,258531,754,2495,1733935013,2873,53494,10.37497347095291,630,131,31.668146729904606,23708,2133628015,9130,1926644951,352,16,45493,1073691603,504.01,65.84771227836609,"[45, 45, 30000, 6, 0.7]",0
0.7463721537917238,39,25153,480,5569,1056447357,8034,777869,8.809060178118603,789,214,21.723025719247502,97677,348574550,602,1122477851,155,221,7758,389246530,503.4,65.81406092643738,"[45, 45, 30000, 6, 0.7]",0
0.8837212126726691,197,76714,754,7390,1454549555,8496,311749,10.37497347095291,116,131,82.171088900231,54106,1587155565,3135,210120504,2177,92,15135,1073691603,501.72,66.51638841629028,"[45, 45, 30000, 6, 0.7]",0
0.17227068632564674,243,544551,933,5623,875583463,7562,891062,36.956164377585274,979,115,58.093128694701754,81855,159882808,842,1819831626,236,222,75555,289252232,501.25,65.84748673439026,"[45, 45, 30000, 6, 0.7]",0
0.8837212126726691,135,76714,754,2289,1733935013,3527,53494,10.37497347095291,12,131,9.189007251281645,94901,2133628015,9208,386729028,2177,16,59059,1073691603,500.89,66.27518820762634,"[45, 45, 30000, 6, 0.7]",0
0.17227068632564674,243,821299,953,5623,711734305,7562,891062,36.956164377585274,31,153,61.40320324038034,81855,159882808,842,1819831626,236,222,75555,996490431,496.64,65.74749326705933,"[45, 45, 30000, 6, 0.7]",0
0.02273900281308954,81,544551,933,346,875583463,994,648468,81.66617997709244,979,115,58.093128694701754,18744,1650143822,2431,598014674,542,230,50676,289252232,496.53,65.82762694358826,"[45, 45, 30000, 6, 0.7]",0
0.7203413222621311,135,518437,925,2289,1733935013,3527,53494,18.175052235520962,12,179,9.189007251281645,18249,2133628015,9208,386729028,259,16,59059,2076336484,494.3,65.39784240722656,"[45, 45, 30000, 6, 0.7]",0
0.7203413222621311,197,518437,925,346,875583463,8496,122344,31.740260459046315,116,179,82.171088900231,18744,1587155565,3135,210120504,259,92,50676,289252232,493.51,66.06164479255676,"[45, 45, 30000, 6, 0.7]",0
0.9370308502355751,211,402871,978,6253,1585058294,1472,282846,24.833554491701136,522,199,34.933165946328806,80009,1778425470,6966,9507398,173,163,83627,1191559145,492.12,65.62757992744446,"[45, 45, 30000, 6, 0.7]",0
