fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,On,Off,Off,Off,Off,On,On,Off,Off,Off,On,On,On,Off,On,On,Off,On,0.09873580932617188,0.22133636474609375,36464,0.27481555938720703,140021,719,3.015028476715088,"[80, 35, 2, 2, 15]"
Off,Off,Off,Off,Off,On,On,On,Off,Off,Off,On,On,Off,On,On,On,On,On,Off,0.09006834030151367,0.22390460968017578,36464,0.2614114284515381,140021,719,3.020171642303467,"[80, 35, 2, 2, 15]"
Off,On,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,On,On,On,On,Off,Off,On,0.10181689262390137,0.21321892738342285,36464,0.27875638008117676,140021,719,3.002671480178833,"[80, 35, 2, 2, 15]"
Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,On,Off,Off,Off,Off,On,On,Off,0.08131051063537598,0.19498872756958008,35432,0.28430747985839844,140021,719,3.0110788345336914,"[80, 35, 2, 2, 15]"
Off,Off,Off,Off,Off,On,On,On,Off,Off,Off,On,On,Off,Off,Off,On,On,Off,Off,0.09773421287536621,0.19124770164489746,36464,0.2767910957336426,140021,719,3.0043914318084717,"[80, 35, 2, 2, 15]"
On,Off,On,On,On,Off,Off,Off,On,Off,Off,On,On,Off,Off,Off,On,Off,On,On,0.08661913871765137,0.197340726852417,36464,0.2736334800720215,140021,719,3.0225820541381836,"[80, 35, 2, 2, 15]"
On,On,On,Off,On,On,On,On,Off,Off,On,On,On,On,On,On,On,Off,Off,Off,0.08572053909301758,0.1899864673614502,36464,0.2772207260131836,140021,719,2.961174964904785,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,On,Off,On,On,Off,Off,Off,On,On,On,Off,On,Off,Off,Off,Off,0.08543539047241211,0.2305765151977539,35432,0.29418396949768066,140021,719,3.0985829830169678,"[80, 35, 2, 2, 15]"
Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,On,On,On,Off,On,Off,On,On,Off,0.0823514461517334,0.21790552139282227,35432,0.2847452163696289,140021,719,2.99255108833313,"[80, 35, 2, 2, 15]"
On,Off,On,Off,Off,Off,Off,On,On,Off,On,On,On,On,Off,On,On,On,Off,On,0.08565735816955566,0.22158026695251465,36464,0.27832841873168945,140021,719,2.9697165489196777,"[80, 35, 2, 2, 15]"
Off,On,Off,On,On,On,On,Off,On,Off,On,On,Off,On,Off,Off,Off,On,On,On,0.07292675971984863,0.17744731903076172,35432,0.2713656425476074,140021,719,2.8983943462371826,"[80, 35, 2, 2, 15]"
Off,Off,Off,On,Off,On,Off,On,On,Off,On,On,On,Off,On,On,On,On,On,On,0.08211588859558105,0.18704485893249512,36464,0.2818119525909424,140021,719,2.9466607570648193,"[80, 35, 2, 2, 15]"
Off,On,Off,On,On,On,On,Off,On,Off,On,On,Off,On,Off,Off,Off,On,On,On,0.08973932266235352,1.4769713878631592,521896,34.18062973022461,2152160,10605,38.10940337181091,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,On,On,Off,0.1079721450805664,0.20113682746887207,36464,0.2794759273529053,140021,719,3.0871567726135254,"[80, 35, 2, 2, 15]"
Off,On,On,Off,Off,On,Off,On,On,Off,Off,Off,On,Off,On,Off,Off,On,Off,On,0.09318304061889648,0.21351170539855957,35432,0.27712059020996094,140021,719,2.9606847763061523,"[80, 35, 2, 2, 15]"
Off,Off,Off,On,On,On,On,On,On,On,Off,Off,On,On,Off,On,On,On,On,On,0.07897710800170898,0.19615435600280762,36464,0.29471898078918457,140021,719,2.9606876373291016,"[80, 35, 2, 2, 15]"
Off,Off,On,Off,Off,Off,On,On,Off,On,On,On,On,Off,On,On,Off,On,On,On,0.09896421432495117,0.2443101406097412,35432,0.2718174457550049,140021,719,3.002819538116455,"[80, 35, 2, 2, 15]"
On,Off,On,On,On,On,Off,Off,On,Off,Off,On,On,On,On,Off,On,On,On,On,0.08804178237915039,0.2285776138305664,36464,0.2796139717102051,140021,719,3.0399372577667236,"[80, 35, 2, 2, 15]"
Off,On,On,Off,On,On,Off,Off,On,On,Off,On,On,Off,Off,On,Off,On,On,On,0.09675049781799316,0.22554922103881836,35432,0.2787966728210449,140021,719,2.9005682468414307,"[80, 35, 2, 2, 15]"
On,On,On,Off,On,Off,On,Off,On,Off,Off,Off,On,Off,Off,Off,On,On,On,Off,0.07462024688720703,0.22022724151611328,36464,0.288970947265625,140021,719,3.026904344558716,"[80, 35, 2, 2, 15]"
Off,On,On,On,On,On,On,Off,On,On,On,On,Off,Off,Off,On,On,Off,On,Off,0.08039140701293945,0.2178499698638916,36464,0.28311777114868164,140021,719,3.0150833129882812,"[80, 35, 2, 2, 15]"
On,On,On,Off,Off,Off,On,On,On,On,On,On,On,On,Off,Off,On,Off,Off,Off,0.07676362991333008,0.20141863822937012,36464,0.2733304500579834,140021,719,2.906571388244629,"[80, 35, 2, 2, 15]"
On,Off,Off,On,On,Off,Off,On,On,On,Off,Off,Off,Off,Off,Off,On,On,Off,On,0.09300899505615234,0.21369671821594238,36464,0.27987074851989746,140021,719,2.956143856048584,"[80, 35, 2, 2, 15]"
On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,0.09409856796264648,0.22543764114379883,35432,0.2782144546508789,140021,719,3.0363190174102783,"[80, 35, 2, 2, 15]"
On,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,Off,Off,On,Off,0.0788125991821289,0.17004728317260742,35432,0.2712428569793701,140021,719,2.948275566101074,"[80, 35, 2, 2, 15]"
Off,Off,On,On,On,On,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,Off,On,Off,0.08015704154968262,0.2193458080291748,35432,0.27378201484680176,140021,719,2.9621245861053467,"[80, 35, 2, 2, 15]"
Off,On,Off,On,Off,Off,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,0.08456707000732422,0.23949646949768066,35432,0.27655839920043945,140021,719,2.9677207469940186,"[80, 35, 2, 2, 15]"
On,Off,On,On,Off,Off,Off,Off,Off,Off,On,Off,On,Off,On,On,On,Off,On,On,0.09981203079223633,0.2227003574371338,36464,0.2926454544067383,140021,719,2.972160816192627,"[80, 35, 2, 2, 15]"
Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,Off,On,0.09763312339782715,0.18805193901062012,36464,0.28650522232055664,140021,719,3.012622833251953,"[80, 35, 2, 2, 15]"
On,Off,Off,On,Off,Off,On,On,Off,Off,On,On,On,Off,On,On,On,Off,Off,On,0.08349132537841797,0.18736910820007324,36464,0.2744405269622803,140021,719,2.8696887493133545,"[80, 35, 2, 2, 15]"
On,Off,On,On,Off,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,Off,0.09538483619689941,0.18430447578430176,35432,0.2832071781158447,140021,719,3.0067481994628906,"[80, 35, 2, 2, 15]"
On,On,On,On,On,Off,On,On,On,On,Off,On,On,On,On,Off,Off,On,On,On,0.07019257545471191,0.2230215072631836,35432,0.28741884231567383,140021,719,3.0118377208709717,"[80, 35, 2, 2, 15]"
On,On,On,Off,Off,On,On,Off,On,Off,On,Off,On,On,On,On,Off,On,Off,Off,0.09103012084960938,0.21820664405822754,35432,0.2878420352935791,140021,719,3.0502145290374756,"[80, 35, 2, 2, 15]"
On,On,On,On,On,Off,On,On,On,On,Off,On,On,On,On,Off,Off,On,On,On,0.09959745407104492,1.5211999416351318,522088,34.11016893386841,2152160,10605,38.19286322593689,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,On,Off,On,On,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,0.08613777160644531,0.1845078468322754,35432,0.27721381187438965,140021,719,2.9235100746154785,"[80, 35, 2, 2, 15]"
Off,Off,On,On,Off,On,On,On,Off,Off,On,On,Off,Off,Off,Off,On,Off,Off,On,0.08432865142822266,0.18989062309265137,36464,0.2848320007324219,140021,719,3.000150203704834,"[80, 35, 2, 2, 15]"
Off,Off,On,On,On,On,Off,Off,Off,Off,On,On,Off,On,Off,Off,On,Off,On,On,0.0878605842590332,0.21143341064453125,36464,0.2812943458557129,140021,719,2.9684677124023438,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,Off,On,Off,Off,On,Off,On,0.09426617622375488,0.18765711784362793,35432,0.2728157043457031,140021,719,2.8579635620117188,"[80, 35, 2, 2, 15]"
Off,Off,On,On,On,On,On,Off,Off,On,On,Off,On,On,Off,Off,Off,Off,On,Off,0.08143377304077148,0.19390416145324707,35432,0.27298831939697266,140021,719,2.8899271488189697,"[80, 35, 2, 2, 15]"
Off,On,Off,Off,On,Off,Off,On,Off,On,On,Off,Off,Off,On,Off,On,On,On,On,0.08835577964782715,0.22835206985473633,36464,0.27840089797973633,140021,719,3.037627935409546,"[80, 35, 2, 2, 15]"
On,Off,Off,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,Off,Off,On,On,Off,0.08460187911987305,0.23851275444030762,35432,0.27285313606262207,140021,719,2.9492428302764893,"[80, 35, 2, 2, 15]"
On,On,Off,On,Off,On,Off,On,On,Off,Off,Off,Off,On,On,On,On,Off,On,Off,0.09134912490844727,0.2259232997894287,36464,0.2860262393951416,140021,719,3.0269317626953125,"[80, 35, 2, 2, 15]"
Off,Off,Off,Off,On,Off,Off,On,On,On,Off,Off,On,On,Off,On,Off,On,Off,On,0.08617353439331055,0.21594953536987305,35432,0.2573697566986084,140021,719,2.933006525039673,"[80, 35, 2, 2, 15]"
Off,Off,Off,On,Off,Off,Off,On,Off,On,On,Off,On,Off,On,On,Off,On,On,On,0.09308290481567383,0.22913384437561035,35432,0.27666759490966797,140021,719,3.063447952270508,"[80, 35, 2, 2, 15]"
On,On,On,On,On,Off,On,On,On,On,On,Off,Off,On,Off,On,On,On,Off,On,0.08547401428222656,0.2198023796081543,36464,0.27712011337280273,140021,719,3.044651985168457,"[80, 35, 2, 2, 15]"
