threads,connections,duration,post,spearman_corr,evaluated_time,front_level
8,40,15,True,0.9030303030303028,16.688975524902343,0
8,45,40,True,0.9999999999999999,40.12959384918213,0
8,35,10,True,0.8303030303030302,10.075460743904113,0
8,50,10,True,0.8181818181818182,10.066263365745545,0
8,25,35,True,0.9393939393939393,35.0928439617157,0
8,30,40,True,0.9757575757575757,40.107710313797,0
8,35,55,True,0.9999999999999999,55.15371673107147,0
1,40,15,True,0.8060606060606059,15.071502017974854,1
8,50,55,True,0.9878787878787878,55.13717122077942,1
8,40,35,True,0.9272727272727272,35.10912735462189,1
