time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
45,45,30000,6,0.5,0.7575757575757575,72.23460602760315,0
50,35,20000,6,0.5,0.7333333333333332,65.91194918155671,0
30,20,20000,10,0.5,0.4424242424242424,45.31274046897888,0
40,35,20000,6,0.5,0.49090909090909085,56.33517959117889,0
45,20,30000,6,0.5,0.6484848484848483,59.552879858016965,0
40,25,40000,4,0.5,0.2121212121212121,56.93672916889191,1
50,20,35000,10,0.5,0.6363636363636362,74.67798051834106,1
50,20,35000,4,0.5,0.6363636363636362,63.0278422832489,1
40,30,35000,4,0.9,0.309090909090909,58.38114426136017,1
50,30,10000,6,0.5,0.5030303030303029,59.85476560592652,1
