time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
40,40,40000,4,0.5,0.9636363636363635,59.60635373592377,0
30,25,15000,8,0.5,0.28484848484848485,40.03983533382416,0
35,35,25000,4,0.5,0.9272727272727272,47.522810745239255,0
30,30,25000,10,0.5,0.24848484848484845,47.73451187610626,1
50,40,10000,8,0.5,0.49090909090909085,60.19352498054504,1
45,45,25000,10,0.5,0.6121212121212121,69.38386852741242,1
45,35,10000,4,0.5,0.41818181818181815,52.7916437625885,1
55,35,40000,8,0.5,0.5393939393939393,79.5615552186966,2
35,25,50000,10,0.5,0.2727272727272727,60.50434141159057,2
40,30,30000,10,0.5,0.2727272727272727,60.379791831970216,2
