time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
40,40,40000,4,0.5,0.9636363636363635,59.60635373592377,0
35,35,25000,4,0.5,0.9272727272727272,47.522810745239255,0
30,25,15000,4,0.5,0.5030303030303029,37.698561215400694,0
45,35,40000,4,0.7,0.8060606060606059,62.778521585464475,1
30,25,15000,8,0.5,0.28484848484848485,40.03983533382416,1
50,40,10000,8,0.5,0.49090909090909085,60.19352498054504,1
45,35,10000,4,0.5,0.41818181818181815,52.7916437625885,1
30,25,15000,8,0.6,-0.04242424242424241,39.55381348133087,1
30,30,25000,10,0.5,0.24848484848484845,47.73451187610626,2
40,40,50000,8,0.5,0.7575757575757575,74.70774805545807,2
