time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
40,40,40000,4,0.5,0.9636363636363635,59.60635373592377,0
35,35,25000,4,0.5,0.9272727272727272,47.522810745239255,0
30,25,15000,4,0.5,0.5030303030303029,37.698561215400694,0
35,35,15000,4,0.5,0.7818181818181817,44.26194338798523,0
30,25,15000,6,0.7,0.6727272727272726,38.58642752170563,0
30,20,15000,4,0.6,-0.0303030303030303,37.03243489265442,0
30,25,15000,8,0.6,-0.04242424242424241,39.55381348133087,1
40,35,40000,4,0.5,0.9030303030303028,57.78167538642883,1
30,30,40000,4,0.5,0.7212121212121211,45.93039019107819,1
30,25,15000,8,0.5,0.28484848484848485,40.03983533382416,1
