fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,evaluated_time,fidelity_setting,corr
Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,Off,Off,On,Off,0.0690152645111084,2.8018836975097656,"[60, 25, 1, 2, 5]",0.7333333333333332
Off,On,On,Off,Off,Off,Off,On,Off,Off,On,Off,Off,On,Off,Off,Off,On,Off,On,0.07718443870544434,2.79215145111084,"[60, 25, 1, 2, 5]",0.7333333333333332
Off,On,Off,Off,On,Off,On,On,On,On,On,On,On,On,On,On,Off,Off,Off,On,0.07818317413330078,2.8432388305664062,"[60, 25, 1, 2, 5]",0.7333333333333332
Off,Off,Off,On,On,Off,On,On,Off,On,Off,On,On,On,Off,Off,Off,Off,On,Off,0.07955121994018555,2.8231849670410156,"[60, 25, 1, 2, 5]",0.7333333333333332
On,On,Off,On,On,Off,Off,On,Off,On,On,Off,Off,Off,On,On,Off,Off,On,Off,0.08056902885437012,2.732133150100708,"[60, 25, 1, 2, 5]",0.7333333333333332
Off,Off,Off,On,On,Off,On,On,On,On,On,On,On,On,Off,Off,Off,On,On,Off,0.08098387718200684,2.821437358856201,"[60, 25, 1, 2, 5]",0.7333333333333332
On,On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,Off,Off,On,Off,Off,On,Off,0.08148384094238281,2.7775917053222656,"[60, 25, 1, 2, 5]",0.7333333333333332
Off,Off,Off,Off,On,On,Off,On,On,Off,On,Off,Off,Off,On,On,Off,On,On,Off,0.08214259147644043,2.845310926437378,"[60, 25, 1, 2, 5]",0.7333333333333332
Off,On,On,On,Off,On,On,Off,On,Off,On,On,On,Off,On,On,On,Off,Off,Off,0.08277106285095215,2.8198599815368652,"[60, 25, 1, 2, 5]",0.7333333333333332
Off,On,Off,On,Off,Off,Off,On,Off,Off,On,Off,On,Off,On,Off,Off,Off,On,Off,0.08390450477600098,2.7804713249206543,"[60, 25, 1, 2, 5]",0.7333333333333332
Off,Off,Off,Off,On,On,Off,On,Off,On,Off,Off,Off,On,On,On,Off,Off,On,Off,0.0850222110748291,2.8531768321990967,"[60, 25, 1, 2, 5]",0.7333333333333332
Off,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,On,Off,On,Off,Off,On,0.08584928512573242,2.8452484607696533,"[60, 25, 1, 2, 5]",0.7333333333333332
Off,On,On,Off,On,Off,On,On,On,Off,Off,Off,On,On,Off,On,Off,Off,Off,On,0.0870354175567627,2.828707695007324,"[60, 25, 1, 2, 5]",0.7333333333333332
On,Off,Off,Off,Off,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,Off,Off,Off,0.08829188346862793,2.792872905731201,"[60, 25, 1, 2, 5]",0.7333333333333332
Off,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,On,0.08838415145874023,2.903928518295288,"[60, 25, 1, 2, 5]",0.7333333333333332
Off,On,On,On,On,Off,Off,On,On,On,On,On,Off,Off,Off,On,Off,On,On,On,0.08909106254577637,2.8669512271881104,"[60, 25, 1, 2, 5]",0.7333333333333332
On,Off,Off,On,On,On,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,0.09004402160644531,2.8942906856536865,"[60, 25, 1, 2, 5]",0.7333333333333332
On,Off,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,On,Off,Off,Off,On,Off,On,0.09005880355834961,2.8253674507141113,"[60, 25, 1, 2, 5]",0.7333333333333332
On,Off,Off,On,On,On,Off,On,Off,On,On,Off,Off,On,On,Off,Off,Off,On,Off,0.0904090404510498,2.8673276901245117,"[60, 25, 1, 2, 5]",0.7333333333333332
Off,On,On,On,On,On,Off,On,Off,On,On,On,Off,On,On,On,Off,Off,On,Off,0.09045910835266113,2.894686460494995,"[60, 25, 1, 2, 5]",0.7333333333333332
