inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
70,15,3,2,5,0.13939393939393938,2.856171417236328,0
90,10,2,2,25,0.5515151515151515,3.0667142629623414,0
90,15,3,2,5,0.22424242424242422,2.8863152503967284,0
60,10,1,1,25,0.309090909090909,2.935762548446655,0
90,15,3,1,5,-0.04242424242424241,2.849670386314392,0
80,10,1,3,5,0.0303030303030303,2.88020977973938,1
90,20,1,3,5,0.1515151515151515,2.8914032936096192,1
60,10,2,2,10,-0.5757575757575757,2.854749155044556,1
70,15,2,1,10,-0.29696969696969694,2.87664954662323,1
90,10,2,2,10,-0.6606060606060605,2.8893638372421266,2
