inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
60,25,1,2,5,0.7333333333333332,2.8354533195495604,0
90,10,2,2,25,0.5515151515151515,3.0667142629623414,1
90,20,1,3,10,0.32121212121212117,2.847345304489136,1
90,15,3,2,10,0.33333333333333326,2.932762360572815,1
90,10,1,3,35,0.38181818181818183,3.0555591344833375,1
70,15,3,2,5,0.13939393939393938,2.856171417236328,2
90,15,3,2,5,0.22424242424242422,2.8863152503967284,2
90,15,3,1,5,-0.04242424242424241,2.849670386314392,2
60,10,1,2,5,0.1515151515151515,2.886036229133606,2
60,10,1,1,25,0.309090909090909,2.935762548446655,2
