inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
60,10,2,2,10,-0.5757575757575757,2.854749155044556,0
70,15,3,2,5,0.13939393939393938,2.856171417236328,0
80,10,1,3,5,0.0303030303030303,2.88020977973938,1
90,10,2,1,20,-0.17575757575757575,2.8985249042510985,2
90,10,1,2,25,-0.05454545454545454,3.0150033712387083,2
90,5,3,3,20,-0.23636363636363633,3.05812726020813,3
60,15,2,3,25,-0.17575757575757575,3.0754282474517822,3
90,20,3,2,25,-0.19999999999999998,3.441974902153015,4
60,20,3,3,35,-0.24848484848484845,4.168445253372193,5
80,20,2,3,35,-1,74.39039235115051,6
