fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,evaluated_time,fidelity_setting,corr
Off,Off,On,On,On,Off,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,Off,On,On,0.07692813873291016,2.9324376583099365,"[90, 10, 2, 4, 10]",0.6484848484848483
On,Off,Off,Off,On,On,On,Off,Off,On,Off,Off,On,On,On,Off,Off,Off,Off,On,0.07970595359802246,2.8766868114471436,"[90, 10, 2, 4, 10]",0.6484848484848483
Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,Off,Off,Off,Off,On,On,Off,0.07994437217712402,2.942866802215576,"[90, 10, 2, 4, 10]",0.6484848484848483
Off,On,Off,Off,Off,On,Off,Off,Off,On,On,On,On,On,On,On,Off,On,On,On,0.08020853996276855,2.8735907077789307,"[90, 10, 2, 4, 10]",0.6484848484848483
Off,On,On,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,Off,Off,Off,Off,0.08201169967651367,2.961103916168213,"[90, 10, 2, 4, 10]",0.6484848484848483
On,Off,On,On,On,Off,On,On,Off,On,Off,On,Off,On,On,Off,On,On,Off,Off,0.08289718627929688,2.832862138748169,"[90, 10, 2, 4, 10]",0.6484848484848483
On,On,On,On,Off,Off,On,On,On,Off,Off,Off,Off,Off,On,On,On,Off,Off,Off,0.08303189277648926,2.9273898601531982,"[90, 10, 2, 4, 10]",0.6484848484848483
On,Off,Off,Off,On,On,On,On,Off,Off,On,On,Off,Off,Off,Off,Off,Off,On,Off,0.0840446949005127,2.91795015335083,"[90, 10, 2, 4, 10]",0.6484848484848483
On,On,Off,Off,On,On,On,Off,Off,On,Off,Off,On,On,Off,On,On,Off,Off,Off,0.08576393127441406,2.816009044647217,"[90, 10, 2, 4, 10]",0.6484848484848483
On,On,On,Off,Off,On,On,On,Off,On,Off,Off,On,On,Off,On,On,Off,Off,Off,0.08908271789550781,2.874243974685669,"[90, 10, 2, 4, 10]",0.6484848484848483
On,Off,On,Off,Off,Off,On,On,On,On,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,0.0909876823425293,2.875211715698242,"[90, 10, 2, 4, 10]",0.6484848484848483
On,On,Off,Off,Off,Off,On,On,On,On,On,On,On,Off,On,On,On,On,Off,On,0.09172868728637695,2.905742883682251,"[90, 10, 2, 4, 10]",0.6484848484848483
Off,Off,Off,On,Off,On,On,On,Off,Off,Off,Off,Off,On,Off,Off,On,On,Off,On,0.09209394454956055,2.8944122791290283,"[90, 10, 2, 4, 10]",0.6484848484848483
On,On,On,Off,On,On,On,Off,On,Off,On,On,On,On,Off,Off,Off,On,Off,Off,0.09320306777954102,2.9495880603790283,"[90, 10, 2, 4, 10]",0.6484848484848483
Off,Off,On,On,Off,On,Off,On,Off,Off,On,On,On,Off,Off,Off,On,On,Off,On,0.09342288970947266,2.88248610496521,"[90, 10, 2, 4, 10]",0.6484848484848483
On,On,Off,On,Off,On,On,On,Off,Off,Off,Off,Off,On,Off,On,On,Off,On,Off,0.0936129093170166,2.9792118072509766,"[90, 10, 2, 4, 10]",0.6484848484848483
On,Off,Off,On,Off,On,On,On,On,Off,On,Off,Off,Off,Off,On,On,On,On,On,0.09491443634033203,2.889258861541748,"[90, 10, 2, 4, 10]",0.6484848484848483
Off,On,Off,On,On,On,Off,On,On,Off,Off,On,Off,On,Off,Off,On,Off,Off,Off,0.09554672241210938,2.9501540660858154,"[90, 10, 2, 4, 10]",0.6484848484848483
Off,Off,Off,On,Off,Off,On,Off,On,Off,On,On,On,On,Off,Off,On,On,Off,Off,0.09926509857177734,2.9424901008605957,"[90, 10, 2, 4, 10]",0.6484848484848483
Off,Off,On,Off,On,Off,On,Off,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,0.10018372535705566,2.8597357273101807,"[90, 10, 2, 4, 10]",0.6484848484848483
