threads,connections,duration,post,spearman_corr,evaluated_time,front_level
8,30,20,True,0.8787878787878788,20.09275941848755,0
8,35,10,True,0.8060606060606059,10.074622559547425,0
8,35,25,True,0.9151515151515152,25.094492888450624,0
6,35,10,False,0.5151515151515151,10.060839438438416,0
8,25,35,True,0.9999999999999999,35.10649631023407,0
8,35,10,False,0.5272727272727272,10.081884503364563,1
8,45,60,True,0.9878787878787878,60.13182702064514,1
8,25,25,True,0.7939393939393938,25.105591773986816,1
8,35,20,False,0.6484848484848483,20.09820489883423,1
8,25,40,False,0.9515151515151514,40.09812750816345,1
