maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
15302,224,59171,49271,60512,5,19,true,50883,true,534690,8009,7680,false,48175,16152,27754,756,178960,2,2704.26,180.12324285507202,"[8, 50, 180, True]"
14986,519,2545,46258,31748,446,27,false,50287,true,598593,46812,26685,true,9012,39773,31842,250,48288,5,2661.18,180.13571548461914,"[8, 50, 180, True]"
17241,56,18127,48196,54342,492,499,true,54918,false,304991,42757,14145,false,47174,23145,21420,627,10431,7,2664.2,180.09555554389954,"[8, 50, 180, True]"
18060,534,42684,58715,84955,366,479,true,54041,false,397640,7053,38795,true,11068,20443,1146,601,21776,5,2626.78,180.1289348602295,"[8, 50, 180, True]"
19359,465,48807,5088,79566,40,496,true,21280,true,302618,3012,20128,true,49803,1345,32852,750,583262,9,2693.02,180.1255383491516,"[8, 50, 180, True]"
5241,588,71,59377,91791,172,462,true,7821,false,571046,24387,69640,false,5908,41166,17033,590,58408,10,2970.82,361.2122178077698,"[8, 50, 180, True]"
12509,300,24247,59620,98644,312,197,false,27372,false,467575,31679,37104,true,25822,58154,12152,455,437239,6,2720.0,180.08579230308533,"[8, 50, 180, True]"
18683,737,69,28086,33374,285,432,true,59594,true,99018,16317,26579,false,1181,3353,24024,447,284500,10,2756.06,180.1269359588623,"[8, 50, 180, True]"
19143,347,20439,59228,46417,488,233,true,40235,true,120077,6661,53404,true,60968,51337,50426,347,244875,2,2681.71,180.13022589683533,"[8, 50, 180, True]"
12396,372,20954,59910,83279,421,188,true,14700,false,272705,58964,67875,false,4418,13769,41694,670,387043,2,2652.02,180.12529873847961,"[8, 50, 180, True]"
16784,161,2477,35290,93956,418,465,false,7418,true,503843,23420,881,true,3997,18854,1330,982,285359,5,2648.6,180.123539686203,"[8, 50, 180, True]"
8549,916,13272,59534,35765,487,261,false,21579,false,113739,29765,18222,true,4790,19520,55106,825,475187,4,2685.48,180.12472248077393,"[8, 50, 180, True]"
10289,703,753,8026,81578,467,240,false,5818,true,205088,21418,45764,false,9950,4225,2079,740,301602,4,2688.94,180.118346452713,"[8, 50, 180, True]"
3321,29,154,33106,47910,471,65,false,22257,false,495575,54766,3954,true,53381,62901,53940,823,85232,8,2665.68,180.110680103302,"[8, 50, 180, True]"
15381,474,2784,59342,43760,423,331,true,56895,false,267524,45659,74088,true,31536,20738,31486,934,115755,10,2682.65,180.1014723777771,"[8, 50, 180, True]"
16210,360,107,13777,99949,93,132,false,21170,true,63103,54179,50624,false,20728,43168,34715,469,330667,8,2741.05,180.09949159622192,"[8, 50, 180, True]"
12416,903,11569,59403,97520,368,167,false,58441,false,248100,1213,91685,true,7122,64800,15774,459,269278,8,2706.8,180.1255486011505,"[8, 50, 180, True]"
6819,355,10596,59492,79331,84,322,false,3988,true,584803,30562,4233,true,42114,5551,733,788,427289,6,2724.21,180.13232898712158,"[8, 50, 180, True]"
37,614,46,43948,66296,444,419,false,19713,false,249691,30505,88456,true,62242,48013,34112,399,445825,7,3049.19,361.24456310272217,"[8, 50, 180, True]"
14265,114,22,52858,12176,61,268,true,15983,false,305580,23082,15126,true,17422,58421,57834,931,393007,6,2772.4,180.12060594558716,"[8, 50, 180, True]"
7765,360,19,51080,37917,494,80,true,10699,false,505259,25178,63963,false,50458,26886,4599,948,572866,1,2634.86,180.11100888252258,"[8, 50, 180, True]"
211,749,285,47996,71078,487,214,true,10253,true,198231,57963,73450,true,63247,172,28,934,50672,6,0.0,5.0067901611328125e-06,"[8, 50, 180, True]"
154,866,11154,30149,41368,489,319,false,47365,false,558247,59716,42014,true,48547,23365,48904,97,287554,4,0.0,3.0994415283203125e-06,"[8, 50, 180, True]"
39,781,35387,51474,22786,121,486,true,44460,true,329824,48439,92366,true,51706,36837,22276,463,351943,4,2773.01,180.12375116348267,"[8, 50, 180, True]"
10,375,42913,53220,98305,458,403,false,28606,false,323363,11691,44214,true,5433,48780,11994,100,379755,10,2831.12,180.12594938278198,"[8, 50, 180, True]"
36,978,32973,39464,20753,434,132,false,2780,false,138573,45775,29732,false,62094,7,46536,357,371980,7,0.0,2.86102294921875e-06,"[8, 50, 180, True]"
7,929,13306,29693,83935,145,435,false,19139,false,88569,7383,4189,true,26886,8057,12794,496,167487,6,0.0,2.86102294921875e-06,"[8, 50, 180, True]"
8,140,46080,13036,79402,401,224,true,19386,true,36537,13153,98560,true,58742,14738,26296,783,547764,6,2950.12,180.09516549110413,"[8, 50, 180, True]"
23,623,8701,37816,7226,323,130,false,6000,false,526382,26630,53753,true,40260,22929,61907,553,465770,9,2748.13,180.07900071144104,"[8, 50, 180, True]"
33,591,30258,58715,53351,106,120,false,42944,true,208154,33685,92878,false,1674,14788,47019,42,479649,4,2717.75,180.09760117530823,"[8, 50, 180, True]"
9,917,14521,16966,36100,72,407,true,40822,false,568848,28513,27269,true,1597,1136,27943,694,278045,8,2865.49,180.12466883659363,"[8, 50, 180, True]"
1,796,57869,11220,52733,173,2,false,38052,false,255417,28066,77961,false,55714,3778,21211,299,105277,9,4618.65,180.11030960083008,"[8, 50, 180, True]"
16416,20,58828,51048,63363,53,6,false,59409,true,245021,57842,81015,false,22574,33353,48124,4,116953,10,1729.39,180.12151622772217,"[8, 50, 180, True]"
5403,496,26567,21806,17397,386,2,false,19392,false,584319,58891,90765,false,24696,53218,30930,305,75109,5,2440.78,180.12461280822754,"[8, 50, 180, True]"
3,28,48133,43389,83998,278,407,false,22426,true,233746,40867,35644,false,13310,10018,49050,202,160442,8,3181.08,180.10679388046265,"[8, 50, 180, True]"
10111,724,56476,57685,16043,391,255,false,44021,true,481988,59943,78615,true,8636,59964,59275,111,316196,5,2724.98,180.12072205543518,"[8, 50, 180, True]"
501,668,57312,36238,24988,286,183,false,47604,false,86830,29091,68577,true,3387,302,49143,416,382960,10,2695.97,180.11114144325256,"[8, 50, 180, True]"
8472,843,22533,21109,98729,43,1,false,5376,true,425478,37229,3649,false,23818,18359,8472,98,447952,3,2484.14,180.11180067062378,"[8, 50, 180, True]"
1376,54,13289,43691,83124,343,480,false,24308,false,20705,26176,49341,true,24170,205,52486,938,449002,3,2665.44,180.09431552886963,"[8, 50, 180, True]"
16274,925,12021,3318,82358,14,93,true,54451,false,536361,48008,41608,true,14212,32254,28521,879,526046,4,2696.25,180.12711882591248,"[8, 50, 180, True]"
1,0,39265,54522,25085,460,467,true,33323,false,497211,41193,29755,true,36398,28465,42006,131,489554,8,4706.24,180.10309958457947,"[8, 50, 180, True]"
544,643,51996,49084,45679,284,52,false,4069,true,359206,51595,23482,true,16078,87,3382,652,58657,5,0.0,4.5299530029296875e-06,"[8, 50, 180, True]"
2542,910,12287,1077,21838,351,429,true,53297,false,407095,53310,46324,true,6956,61668,38085,63,100713,9,0.0,1.9073486328125e-06,"[8, 50, 180, True]"
13752,3,40782,1584,64459,499,242,true,1518,false,421073,34354,68958,false,47808,38050,26935,994,532462,6,2858.11,361.26553535461426,"[8, 50, 180, True]"
11136,0,21125,35748,34557,448,408,true,15382,true,397586,59902,97017,false,48861,39702,41109,277,32678,9,2670.19,180.09947180747986,"[8, 50, 180, True]"
2,155,34266,43279,99851,423,285,true,46798,true,465173,54823,51440,false,4101,14474,33592,135,381043,2,3429.17,180.1233811378479,"[8, 50, 180, True]"
20,317,29789,59756,18399,57,48,false,38376,false,452303,57347,7124,true,60620,32516,2545,89,384206,9,2828.93,180.10488367080688,"[8, 50, 180, True]"
10612,186,57807,1011,87463,15,460,true,41575,true,394330,46544,38784,true,59869,43019,62734,973,42448,1,2730.0,180.13078355789185,"[8, 50, 180, True]"
17657,830,5102,9444,60353,1,394,false,11129,true,505337,32819,12974,false,12400,41599,18903,89,389454,2,2727.64,180.08605694770813,"[8, 50, 180, True]"
3,811,37526,11203,68824,427,23,true,24622,true,93407,39632,28903,false,30780,9754,45520,88,252081,5,2987.77,180.12740421295166,"[8, 50, 180, True]"
86,927,45409,30029,47976,424,53,true,8718,true,4377,58666,71997,false,42407,49202,64286,779,171738,8,2710.18,180.11765456199646,"[8, 50, 180, True]"
1,921,25159,10502,51899,305,93,false,40126,true,433528,30635,12434,false,54191,25569,445,697,554167,3,4648.29,180.11788249015808,"[8, 50, 180, True]"
18779,336,56007,16167,61060,291,448,false,40276,false,343307,13597,28162,true,464,13256,389,54,586722,10,2707.04,180.1363661289215,"[8, 50, 180, True]"
752,821,24484,911,80465,498,296,true,8440,true,531621,24871,61374,false,52573,62262,35998,819,472259,8,2700.86,180.08457326889038,"[8, 50, 180, True]"
12451,608,37550,20064,18789,388,381,false,24002,true,492990,36033,25626,true,61242,8361,335,37,464688,1,2722.51,180.09610056877136,"[8, 50, 180, True]"
2,836,30898,6417,55200,228,216,true,24624,false,565826,20364,75607,true,36654,58460,3324,109,222938,7,3640.71,180.12517762184143,"[8, 50, 180, True]"
19358,819,14469,712,95049,211,61,true,41756,true,290002,54260,61839,false,39345,29993,36771,976,199423,4,2659.79,180.1239094734192,"[8, 50, 180, True]"
16079,842,47551,5550,53198,492,346,true,28985,false,194262,23153,56399,true,45672,62562,64047,51,64974,3,2519.18,180.11920404434204,"[8, 50, 180, True]"
1,739,52388,13321,64612,312,336,true,56416,false,232517,1198,84657,true,48703,65453,19919,836,435727,7,5103.31,180.1240553855896,"[8, 50, 180, True]"
5895,888,20149,24072,27497,418,207,false,52853,false,516322,46521,50308,true,32633,194,20719,666,164281,2,2663.99,180.1217749118805,"[8, 50, 180, True]"
17848,963,27342,58789,77246,69,74,false,46874,false,568678,11634,46198,true,17099,13951,27885,880,330355,2,2748.84,180.1026954650879,"[8, 50, 180, True]"
7111,996,30984,36137,27339,10,432,true,2421,true,53734,7197,63129,true,33724,64736,57428,488,330965,7,2682.45,180.1221694946289,"[8, 50, 180, True]"
1,820,27868,47543,97460,420,458,false,26419,false,505287,54399,10675,false,26398,3715,7335,223,232282,9,4556.6,180.07532334327698,"[8, 50, 180, True]"
2,990,47168,17251,96272,365,90,false,58740,false,398328,30216,1099,false,64859,45885,61026,466,172092,5,3376.37,180.06611680984497,"[8, 50, 180, True]"
2250,960,19524,56790,3881,49,107,false,20651,false,239088,18459,33284,true,25736,65018,31330,51,213434,6,2762.41,180.0927963256836,"[8, 50, 180, True]"
215,985,42677,22726,90915,278,423,false,53940,false,62169,18191,2469,false,26377,52710,11043,243,316831,5,2747.7,180.09380102157593,"[8, 50, 180, True]"
51,251,2433,1241,51147,181,398,false,58111,false,535062,48834,49761,true,11084,44895,19963,68,468088,2,2759.1,180.10658836364746,"[8, 50, 180, True]"
12599,873,21028,21,87521,403,62,true,37541,true,522090,13442,36842,true,12130,48885,4805,72,453885,4,2889.48,361.2437860965729,"[8, 50, 180, True]"
16000,933,9430,172,85021,206,107,false,38608,false,8771,52987,90424,true,57537,38981,15200,727,461932,6,2694.06,180.12777829170227,"[8, 50, 180, True]"
