time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
30,25,15000,8,0.5,0.12727272727272726,39.85360422134399,0
30,35,40000,4,0.5,0.3696969696969697,48.14965848922729,0
45,35,10000,10,0.5,0.6727272727272726,55.98125336170197,0
30,30,25000,10,0.5,-0.18787878787878787,46.26287631988525,1
35,35,25000,4,0.5,0.10303030303030303,47.790617966651915,1
35,25,50000,10,0.5,0.2121212121212121,58.52355263233185,1
35,25,25000,8,0.5,-0.01818181818181818,48.36713254451752,2
40,40,40000,4,0.5,0.05454545454545454,60.37975373268127,2
45,45,25000,10,0.5,0.05454545454545454,66.7797325372696,2
30,45,25000,10,0.5,-0.16363636363636364,52.025106358528134,3
