ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,Off,Off,Off,Off,Off,On,On,Off,On,On,Off,On,Off,Off,On,Off,On,On,0.08877873420715332,5.544193744659424,1255640,34.731560945510864,2152160,10605,42.83588647842407,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,0.08276057243347168,5.5255208015441895,1251544,34.82513356208801,2152160,10605,42.878283739089966,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,On,Off,Off,Off,Off,Off,Off,On,Off,Off,On,Off,Off,Off,On,0.09280538558959961,5.469817161560059,1251544,34.820226430892944,2152160,10605,42.824060678482056,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,Off,On,Off,On,On,Off,Off,Off,Off,Off,On,On,On,Off,0.09773755073547363,5.470936059951782,1255640,34.85847234725952,2152160,10605,42.51533222198486,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,Off,On,On,Off,On,On,Off,Off,Off,Off,Off,Off,On,Off,Off,0.0833580493927002,5.49785590171814,1252968,34.75438690185547,2152160,10605,42.733009815216064,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,Off,On,On,Off,On,On,Off,Off,On,On,Off,On,Off,Off,On,0.08955550193786621,5.537492990493774,1252968,34.7122540473938,2152160,10605,42.793758153915405,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,On,Off,Off,Off,On,On,Off,On,Off,On,On,On,Off,Off,On,0.08819293975830078,0.42388343811035156,237848,2.219651937484741,356663,1676,5.250568151473999,"[10, 50, 6, 4, 5]"
On,Off,Off,Off,Off,Off,On,Off,Off,On,Off,On,On,On,Off,On,Off,On,On,Off,0.09132552146911621,0.43073415756225586,237848,2.2025675773620605,356663,1676,5.165343999862671,"[10, 50, 6, 4, 5]"
Off,On,Off,On,On,On,Off,On,On,Off,Off,Off,Off,Off,Off,Off,On,On,Off,On,0.09005498886108398,0.4218015670776367,240512,2.196826934814453,356663,1676,5.118601083755493,"[10, 50, 6, 4, 5]"
Off,On,On,On,Off,Off,On,On,On,Off,On,On,Off,On,On,Off,Off,Off,On,Off,0.09527587890625,0.41363000869750977,241944,2.2028207778930664,356663,1676,5.173982620239258,"[10, 50, 6, 4, 5]"
