inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
70,35,3,1,5,0.7696969696969697,2.7657928705215453,0
90,25,1,2,25,0.18787878787878787,2.7390066146850587,0
70,25,1,2,10,0.28484848484848485,2.739618754386902,0
70,25,1,2,15,0.4666666666666666,2.7594521045684814,0
70,5,1,2,5,0.7333333333333332,2.7936160802841186,1
60,15,1,2,10,0.5515151515151515,2.7762141466140746,1
60,5,1,1,5,0.18787878787878787,2.7682949542999267,1
70,20,1,1,5,-0.06666666666666665,2.7609068632125853,1
90,5,2,1,5,-0.11515151515151514,2.766145038604736,2
90,20,2,2,15,0.6727272727272726,2.949742841720581,2
