threads,connections,duration,post,spearman_corr,evaluated_time,front_level
8,45,60,True,0.9878787878787878,60.13509564399719,0
8,30,20,True,0.9636363636363635,20.081660795211793,0
8,15,45,True,0.9636363636363635,45.10124678611756,0
8,40,55,True,0.9878787878787878,60.729802799224856,0
8,35,10,True,0.9636363636363635,10.070738816261292,0
8,35,35,True,0.9272727272727272,35.09243822097778,1
8,50,40,True,0.9515151515151514,44.22901575565338,1
8,35,25,True,0.9272727272727272,25.1047562122345,1
8,25,55,True,0.9151515151515152,55.11308562755585,2
8,15,60,True,0.8787878787878788,60.09255833625794,3
