time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
30,25,15000,8,0.5,0.07878787878787878,40.24829032421112,0
35,35,25000,4,0.5,0.5393939393939393,47.63855888843536,0
35,35,25000,4,0.9,0.6363636363636362,47.66531736850739,0
35,25,15000,8,0.7,-0.17575757575757575,44.72342290878296,1
30,30,25000,10,0.5,-0.10303030303030303,47.76232600212097,1
55,25,35000,4,0.5,0.6242424242424242,67.3013084411621,1
35,35,25000,6,0.5,0.3696969696969697,49.30074555873871,1
40,30,25000,4,0.6,0.5878787878787878,51.11989068984985,1
45,35,10000,4,0.5,0.5030303030303029,52.662076234817505,2
35,35,25000,8,0.5,-0.07878787878787878,51.81518783569336,2
