innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,cost,fidelity,prepare_time,run_time,clean_time
51,76277530,8343,23015957,49970632,130257017,90785,269780770,2,55,13363809998,6030,977369295,26,118895709,noblob,1353,47542048,32,972949,245.7,249.36598777770996,"[180, 50, 100000, 4, 0.5]",64.68010258674622,180.24970269203186,1.3424174785614014
619,747315130,34242,931194385,108887376,587752063,58865,334884002,0,59,11015667077,22200,3239610640,64,84204702,noblob,7607,48207786,82,659169,239.34,255.19590187072754,"[180, 50, 100000, 4, 0.5]",71.0595555305481,180.09799218177795,0.9370255470275879
866,76277530,8343,754426929,95011033,130257017,69858,824993025,0,55,11015667077,20975,2213608042,26,43939453,noblob,7607,61623712,13,813525,252.0,261.262234210968,"[180, 50, 100000, 4, 0.5]",76.790048122406,180.12462043762207,1.231492519378662
51,832499891,237,931194385,108887376,560407499,58865,932910243,2,79,11684142126,6030,3239610640,68,84204702,minimal,7425,47542048,82,972949,330.91,248.09793424606323,"[180, 50, 100000, 4, 0.5]",63.914119720458984,180.08478689193726,0.9944219589233398
460,853144170,14318,930631377,74808884,86031043,26568,482417448,0,37,13759914220,29046,4045227727,94,101888939,minimal,3348,7073467,78,994940,244.75,249.6866271495819,"[180, 50, 100000, 4, 0.5]",65.11513209342957,180.08995723724365,1.3578453063964844
424,93044210,32961,406471023,59057467,1066894500,34887,208313005,0,99,13862121461,13811,1250799094,63,11080834,minimal,3264,32449490,55,34324,249.08,266.18300318717957,"[180, 50, 100000, 4, 0.5]",81.29877400398254,180.26066875457764,1.511815071105957
866,832499891,237,931194385,108887376,130257017,58865,269780770,2,79,11015667077,6030,2213608042,26,43939453,noblob,7425,61623712,82,813525,324.35,253.87917518615723,"[180, 50, 100000, 4, 0.5]",69.62480902671814,180.198646068573,0.9588794708251953
51,76277530,8343,754426929,95011033,560407499,116358,824993025,0,55,11684142126,20975,3239610640,68,84204702,minimal,7607,47542048,13,972949,247.95,244.9276041984558,"[180, 50, 100000, 4, 0.5]",60.30338454246521,180.1603970527649,1.3506011962890625
43,979768045,3789,708598978,125671610,871952600,127511,788617079,1,94,13353151294,16487,4268476566,89,31744018,noblob,9463,75655015,93,91985,238.13,254.60510349273682,"[180, 50, 100000, 4, 0.5]",69.5443844795227,180.20760130882263,1.7713818550109863
841,516966627,7962,79767745,68379437,76835681,36433,444807684,2,62,13448947612,17963,2529814575,18,19386480,full,8508,13892740,76,982268,250.47,247.18116760253906,"[180, 50, 100000, 4, 0.5]",62.78233242034912,180.1221525669098,1.1677815914154053
424,853144170,7962,708598978,68379437,163440761,26568,208313005,2,94,13353151294,29046,2529814575,63,19386480,noblob,3348,7073467,76,34324,255.58,255.57047653198242,"[180, 50, 100000, 4, 0.5]",71.10915040969849,180.20735239982605,1.1608021259307861
43,516966627,35169,930631377,74808884,1066894500,36433,444807684,0,99,11371779793,22747,1250799094,89,101888939,minimal,9463,46740039,6,982268,241.66,262.34354972839355,"[180, 50, 100000, 4, 0.5]",78.10469889640808,180.12251257896423,1.0109257698059082
77,856442209,3142,96837051,9623957,180942249,76729,756347276,0,81,15420563960,3370,3119046237,40,108068465,minimal,7910,117872184,59,404588,263.49,244.9780113697052,"[180, 50, 100000, 4, 0.5]",60.496166944503784,180.2299358844757,1.156526803970337
661,1050661133,26991,541820374,40210511,240894510,125443,807086633,1,37,14950484399,18906,1913960776,2,118979615,full,3606,92509916,13,265449,208.44,254.38892030715942,"[180, 50, 100000, 4, 0.5]",69.05170631408691,180.08870220184326,2.161583662033081
866,121839235,237,991967851,66753152,560407499,116358,417070453,1,54,11684142126,25116,2213608042,4,43939453,minimal,4367,30812837,13,813525,300.98,258.061891078949,"[180, 50, 100000, 4, 0.5]",73.08249592781067,180.1145658493042,1.7454397678375244
216,832499891,7235,754426929,95011033,583684579,42703,824993025,0,42,10385298940,20975,3321923434,68,89145048,noblob,7425,61623712,2,98401,253.09,243.43333792686462,"[180, 50, 100000, 4, 0.5]",58.984302282333374,180.10510087013245,1.243849515914917
866,832499891,237,754426929,107736961,560407499,116358,824993025,0,83,15436598211,20975,2944392901,68,92746640,minimal,7425,55532732,13,184869,332.59,259.3826174736023,"[180, 50, 100000, 4, 0.5]",75.18723511695862,180.0984079837799,0.9965159893035889
475,868013376,36586,147084024,95011033,442583564,121794,538658419,0,79,11684142126,24881,2213608042,35,43939453,full,2843,61623712,94,813525,245.31,259.34192872047424,"[180, 50, 100000, 4, 0.5]",74.88731789588928,180.11217665672302,1.2317578792572021
77,832499891,3142,931194385,108887376,180942249,58865,756347276,2,79,15420563960,3370,2213608042,26,43939453,noblob,7425,36615126,59,404588,268.03,255.8661708831787,"[180, 50, 100000, 4, 0.5]",71.32742810249329,180.11873388290405,1.3235540390014648
866,856442209,237,96837051,9623957,130257017,76729,269780770,0,81,11015667077,6030,3119046237,25,102083321,minimal,7910,117872184,82,813525,332.0,250.32771396636963,"[180, 50, 100000, 4, 0.5]",66.05179810523987,180.16287064552307,1.0262515544891357
106,832499891,237,538200136,107736961,560407499,116358,824993025,0,83,12955375709,25210,2944392901,64,60014062,full,9262,55532732,13,184869,333.36,256.4394738674164,"[180, 50, 100000, 4, 0.5]",72.19469714164734,180.10627031326294,1.0477280616760254
866,889707832,3522,754426929,125144987,769510226,123609,1060351855,0,9,15436598211,20975,1807890460,68,92746640,minimal,7425,72521292,55,975182,267.11,248.86311650276184,"[180, 50, 100000, 4, 0.5]",64.40814542770386,180.16323518753052,1.1821508407592773
77,889707832,3142,96837051,125144987,875182819,76729,1060351855,0,9,15420563960,3370,1807890460,64,108068465,minimal,7910,117872184,59,404588,260.07,247.65919613838196,"[180, 50, 100000, 4, 0.5]",63.24588203430176,180.09365248680115,1.205913782119751
106,856442209,3522,538200136,9623957,180942249,123609,624159483,0,81,12955375709,25210,3119046237,40,60014062,minimal,9262,72521292,55,975182,262.12,245.6496376991272,"[180, 50, 100000, 4, 0.5]",61.10649490356445,180.2360439300537,1.1798927783966064
866,832499891,237,754426929,107736961,560407499,27546,482417448,0,83,15436598211,20975,4045227727,94,92746640,minimal,3264,55532732,55,184869,329.63,255.89265275001526,"[180, 50, 100000, 4, 0.5]",71.62879848480225,180.09243726730347,1.0704121589660645
460,93044210,14318,406471023,59057467,86031043,34887,824993025,0,37,13759914220,4613,2944392901,68,11080834,minimal,7425,32449490,13,994940,249.06,247.76553392410278,"[180, 50, 100000, 4, 0.5]",62.967238903045654,180.17354536056519,1.5183193683624268
51,832499891,237,754426929,108887376,560407499,58865,932910243,0,42,10385298940,6030,3321923434,75,84204702,minimal,7425,47542048,2,972949,336.34,255.51825833320618,"[180, 50, 100000, 4, 0.5]",71.12603211402893,180.14886212348938,1.1566264629364014
216,832499891,7235,931194385,95011033,158953920,42703,824993025,2,79,11684142126,20975,3239610640,68,89145048,noblob,7425,61623712,82,98401,248.39,250.67524242401123,"[180, 50, 100000, 4, 0.5]",66.21559071540833,180.07109761238098,1.293764352798462
